Age*Class,AgeFill,FamilySize,Parch,Port,SibSp,Survived
66.0,22.0,1,1,2,1,0
38.0,38.0,1,0,0,1,1
78.0,26.0,0,0,2,0,1
35.0,35.0,1,0,2,1,1
105.0,35.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
54.0,54.0,0,1,2,0,0
6.0,2.0,4,1,2,3,0
81.0,27.0,2,0,2,0,1
28.0,14.0,1,0,0,1,1
12.0,4.0,2,0,2,1,1
58.0,58.0,0,0,2,0,1
60.0,20.0,0,1,2,0,0
117.0,39.0,6,1,2,1,0
42.0,14.0,0,0,2,0,0
110.0,55.0,0,0,2,0,1
6.0,2.0,5,1,1,4,0
60.0,30.0,0,1,2,0,1
93.0,31.0,1,0,2,1,0
64.5,21.5,0,0,0,0,1
70.0,35.0,0,1,2,0,0
68.0,34.0,0,1,2,0,1
45.0,15.0,0,0,1,0,1
28.0,28.0,0,1,2,0,1
24.0,8.0,4,0,2,3,0
114.0,38.0,6,0,2,1,1
75.0,25.0,0,1,0,0,0
19.0,19.0,5,1,2,3,0
64.5,21.5,0,0,1,0,1
75.0,25.0,0,1,2,0,0
40.0,40.0,0,1,0,0,0
35.0,35.0,1,0,0,1,1
64.5,21.5,0,0,1,0,1
132.0,66.0,0,1,2,0,0
28.0,28.0,1,1,0,1,0
42.0,42.0,1,1,2,1,0
75.0,25.0,0,1,0,0,1
63.0,21.0,0,1,2,0,0
54.0,18.0,2,0,2,2,0
42.0,14.0,1,0,0,1,1
120.0,40.0,1,0,2,1,0
54.0,27.0,1,0,2,1,0
75.0,25.0,0,1,0,0,0
6.0,3.0,3,0,0,1,1
57.0,19.0,0,0,1,0,1
75.0,25.0,0,1,2,0,0
75.0,25.0,1,1,1,1,0
64.5,21.5,0,0,1,0,1
75.0,25.0,2,1,0,2,0
54.0,18.0,1,0,2,1,0
21.0,7.0,5,1,2,4,0
63.0,21.0,0,1,2,0,0
49.0,49.0,1,0,0,1,1
58.0,29.0,1,0,2,1,1
65.0,65.0,1,1,0,0,0
40.0,40.0,0,1,2,0,1
42.0,21.0,0,0,2,0,1
85.5,28.5,0,1,0,0,0
10.0,5.0,3,0,2,1,1
33.0,11.0,7,1,2,5,0
66.0,22.0,0,1,0,0,0
38.0,38.0,0,0,2,0,1
45.0,45.0,1,1,2,1,0
12.0,4.0,5,1,2,3,0
40.0,40.0,0,1,0,0,0
75.0,25.0,2,1,0,1,1
58.0,29.0,0,0,2,0,1
57.0,19.0,0,1,2,0,0
51.0,17.0,6,0,2,4,1
78.0,26.0,2,1,2,2,0
64.0,32.0,0,1,2,0,0
48.0,16.0,7,0,2,5,0
42.0,21.0,0,1,2,0,0
78.0,26.0,1,1,0,1,0
96.0,32.0,0,1,2,0,1
75.0,25.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
1.66,0.83,2,1,2,0,1
90.0,30.0,0,0,2,0,1
66.0,22.0,0,1,2,0,0
87.0,29.0,0,1,2,0,1
64.5,21.5,0,0,1,0,1
28.0,28.0,0,1,2,0,0
34.0,17.0,0,0,2,0,1
99.0,33.0,3,0,2,3,1
48.0,16.0,4,1,2,1,0
75.0,25.0,0,1,2,0,0
23.0,23.0,5,0,2,3,1
72.0,24.0,0,1,2,0,0
87.0,29.0,0,1,2,0,0
60.0,20.0,0,1,2,0,0
46.0,46.0,1,1,2,1,0
78.0,26.0,3,1,2,1,0
177.0,59.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
71.0,71.0,0,1,0,0,0
23.0,23.0,1,1,0,0,1
68.0,34.0,1,0,2,0,1
68.0,34.0,1,1,2,1,0
84.0,28.0,0,0,2,0,0
75.0,25.0,0,1,2,0,0
21.0,21.0,1,1,2,0,0
99.0,33.0,0,1,2,0,0
111.0,37.0,2,1,2,2,0
84.0,28.0,0,1,2,0,0
63.0,21.0,0,0,2,0,1
75.0,25.0,0,1,2,0,1
114.0,38.0,0,1,2,0,0
64.5,21.5,1,0,1,1,1
47.0,47.0,0,1,2,0,0
43.5,14.5,1,0,0,1,0
66.0,22.0,0,1,2,0,0
60.0,20.0,1,0,2,1,0
51.0,17.0,0,0,0,0,0
63.0,21.0,0,1,2,0,0
211.5,70.5,0,1,1,0,0
58.0,29.0,1,1,2,1,0
24.0,24.0,1,1,0,0,0
6.0,2.0,6,0,2,4,0
42.0,21.0,2,1,2,2,0
75.0,25.0,0,1,2,0,0
65.0,32.5,1,1,0,1,0
65.0,32.5,0,0,2,0,1
54.0,54.0,1,1,2,0,0
36.0,12.0,1,1,0,1,1
75.0,25.0,0,1,1,0,0
72.0,24.0,0,1,2,0,1
64.5,21.5,2,0,0,1,1
135.0,45.0,0,1,2,0,0
99.0,33.0,0,1,0,0,0
60.0,20.0,0,1,2,0,0
